,Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
145,2,12,5,60,31,4,2,1,35,101,0,0,1300,1300
146,2,0,2,36,35,2,2,1,105,122,5200,2000,850,850
147,1,14,2,60,64,2,1,3,60,250,10000,0,700,1204
148,1,10,5,24,29,1,1,3,35,90,0,0,600,1528
153,2,0,6,60,25,2,1,2,60,60,0,0,1300,1380
154,2,0,5,60,23,1,1,2,35,205,0,0,1400,1426
155,1,3,2,24,30,2,1,3,75,133,12000,900,1500,5200
158,1,5,6,60,22,1,1,1,45,195,0,0,700,1422
159,1,9,2,24,45,2,1,1,75,112,4000,0,500,1430
160,1,4,2,30,47,2,1,3,90,210,15000,0,1550,1578
161,1,14,3,48,36,2,1,1,75,155,3500,200,1100,1250
162,1,3,2,36,36,1,2,3,35,394,16000,0,1500,2260
163,1,22,1,36,60,2,1,1,60,149,0,0,200,280
164,1,20,1,48,59,2,1,1,57,120,0,0,800,1298
165,2,6,2,48,58,2,2,3,60,400,86000,0,930,945
167,2,5,2,36,32,2,1,3,75,125,6000,0,600,700
168,1,8,1,48,26,1,1,1,42,74,0,0,600,1290
169,1,5,2,60,40,2,1,1,75,86,4900,0,1300,1581
171,1,11,1,60,30,2,1,1,77,165,0,0,1350,1637
172,1,25,5,54,43,2,1,1,75,110,7000,0,1275,1275
176,2,0,1,60,48,4,2,3,35,0,25300,15500,1200,1257
181,1,0,1,36,51,2,1,1,113,230,0,0,950,950
182,1,14,4,60,34,2,1,1,75,85,8000,0,1400,1589
185,1,11,2,60,46,2,1,1,75,149,3500,0,1400,2194
186,1,1,2,48,31,2,1,1,75,201,2500,96,1100,1642
187,2,13,6,60,31,2,1,1,60,105,0,0,1200,1423
189,2,9,1,24,30,1,2,1,46,113,0,0,700,700
190,1,1,2,24,27,2,1,1,45,126,3000,3700,200,300
193,1,2,2,12,44,2,1,1,90,160,7500,0,500,1706
195,1,21,2,60,57,2,1,3,60,95,8000,0,1000,1700
197,1,9,1,60,38,2,1,1,87,120,0,0,1177,1300
198,1,2,1,36,35,2,1,1,126,359,0,0,870,1122
200,1,1,5,60,28,1,1,2,35,67,0,0,1050,1387
201,1,15,2,48,46,2,1,1,90,148,12000,0,1000,1266
202,1,19,2,60,56,2,2,1,45,298,8000,0,1700,2195
204,1,19,2,60,35,2,1,1,75,185,4000,0,1100,1203
206,1,4,5,48,29,2,1,1,45,194,0,0,1200,1374
207,2,1,5,60,22,1,1,1,35,80,3000,0,1500,1514
208,1,2,2,24,33,2,2,1,75,147,2000,900,400,750
209,1,5,2,24,41,2,1,3,105,156,10000,0,800,1894
210,1,11,2,36,37,2,1,1,75,178,3000,0,1000,1048
212,2,4,6,36,19,1,1,2,35,63,0,0,1000,1035
213,2,5,5,36,22,1,1,1,35,88,0,0,750,1218
215,2,1,3,60,44,2,1,2,45,115,2000,0,750,953
216,1,9,2,60,48,2,2,1,60,83,2500,0,1100,1212
218,1,20,2,24,53,2,1,3,45,200,100000,0,1000,1419
219,1,10,6,60,36,2,1,1,90,172,3000,0,1100,1100
221,1,15,2,60,37,2,1,1,60,318,7000,0,1900,2400
223,1,4,2,48,36,2,1,1,60,133,4000,0,1000,1595
224,1,4,2,60,64,1,1,4,35,150,9000,0,984,1054
225,1,1,2,36,27,1,1,1,35,208,9000,0,1000,1651
226,1,10,2,30,26,2,1,1,75,145,1434,0,300,1542
228,1,12,2,60,50,2,1,1,45,190,9500,200,1800,2624
230,1,20,5,24,40,1,1,1,35,90,0,0,600,1105
231,1,6,1,60,49,2,2,2,100,100,30000,0,1500,1500
232,2,4,1,24,40,2,2,1,56,214,0,0,800,1200
233,1,1,1,60,37,1,1,1,45,100,0,0,1150,1555
234,1,2,1,48,25,2,1,1,57,117,0,0,800,2251
235,1,25,2,18,40,2,1,1,45,110,4000,0,455,1542
236,1,1,1,36,22,2,1,1,62,168,0,0,1200,2186
237,1,10,2,48,49,2,1,3,45,150,9000,0,1700,1700
241,2,10,1,60,43,2,1,3,90,0,0,0,1350,1668
242,1,20,2,36,42,2,1,3,90,250,4500,0,1500,1750
243,1,10,2,48,28,2,2,2,60,120,2500,1500,600,875
244,1,1,2,60,30,2,1,3,35,236,3500,1000,1000,1514
246,2,0,5,60,22,1,1,2,35,55,0,0,950,1462
247,1,5,5,36,27,1,1,1,35,200,4000,0,600,1098
248,1,3,5,60,26,1,1,1,45,235,0,0,800,840
249,2,0,2,48,28,2,1,1,45,80,1500,0,1260,1634
250,1,6,2,48,35,2,1,3,45,200,7000,0,1540,1603
253,1,12,1,60,34,2,1,1,94,185,0,0,1200,1236
255,1,10,2,60,49,2,1,3,60,150,23000,0,1200,1390
258,1,15,2,60,63,2,1,1,60,315,3500,266,1000,1241
259,2,0,1,12,37,2,1,4,88,130,0,0,250,375
260,1,2,2,36,27,2,1,1,45,156,6000,0,700,1045
261,1,18,1,60,39,2,1,1,93,177,0,0,800,1781
262,1,12,2,36,64,1,2,3,60,341,4500,0,900,900
264,1,8,2,12,49,2,1,3,60,142,6000,0,200,1048
265,1,20,2,36,45,2,1,3,75,333,5000,0,1000,2200
267,1,2,5,36,30,2,1,1,45,170,0,0,700,1090
268,2,2,2,36,33,2,1,3,75,220,16000,500,3000,4100
269,1,15,2,36,40,2,1,1,60,230,8500,480,700,1400
271,1,4,5,12,30,2,1,1,60,340,16000,0,1900,2014
272,1,3,2,60,25,2,1,2,60,120,3500,200,1000,1342
273,1,9,1,60,40,1,1,1,44,91,0,0,1000,1132
275,1,2,2,36,23,1,1,1,35,88,5500,0,750,1218
276,1,1,6,48,28,1,1,2,35,120,0,0,900,1114
277,2,2,1,60,35,2,2,3,75,0,0,0,1000,1206
278,1,2,1,60,27,2,1,1,56,106,0,0,650,2132
280,1,3,5,60,39,2,1,1,45,77,0,0,1000,1094
281,1,8,3,36,39,2,1,1,75,128,2500,0,550,550
282,1,10,2,48,55,3,1,1,35,189,9000,0,1200,1255
283,1,10,2,36,32,2,1,3,60,300,40000,3000,2000,4138
284,1,5,2,60,54,2,1,3,60,92,6000,1700,1700,1714
285,1,20,2,48,58,2,1,3,60,380,35000,0,1100,1150
288,1,12,2,60,28,2,1,1,45,141,6000,400,1100,1544
292,1,6,2,36,42,2,1,1,60,132,6000,0,1200,1513
294,1,25,1,60,52,2,1,1,73,127,0,0,1030,1250
300,2,7,6,60,25,2,1,1,45,50,0,0,950,1378
301,1,3,2,60,31,1,1,1,35,131,4000,0,1050,1139
302,1,1,5,24,23,1,1,1,35,62,0,0,350,350
303,2,5,2,60,35,2,1,1,75,60,3000,400,1150,1406
304,1,2,2,60,47,2,1,1,90,86,4500,0,1200,1497
306,2,27,1,60,50,2,2,1,87,120,0,0,1300,1350
307,2,3,6,60,25,1,1,1,35,283,0,0,2000,2032
310,2,1,1,60,36,2,2,1,85,99,0,0,1200,1275
311,2,10,2,36,39,2,2,3,75,160,15000,0,3250,3750
312,1,1,2,60,25,2,1,2,60,330,9000,3500,1300,2500
313,1,6,2,36,49,2,1,3,60,100,22000,0,1000,1790
316,1,0,2,36,24,1,1,2,45,97,8000,0,600,1542
317,2,1,1,60,38,2,1,3,45,0,0,0,1500,1850
319,1,5,2,42,33,2,2,1,45,140,22000,2500,1200,1888
320,2,1,1,48,31,2,1,1,87,115,0,0,1100,1672
323,1,40,2,42,61,2,1,1,90,275,12000,0,1000,1335
326,1,23,2,60,41,2,1,1,75,140,3000,0,1450,1482
327,1,23,2,60,38,2,1,1,45,500,3500,0,1900,2357
328,2,5,2,60,27,2,1,1,75,66,3000,0,600,850
329,1,10,2,60,55,2,1,3,60,0,10000,0,1000,1180
333,2,10,2,60,38,2,2,1,90,80,3000,1749,1030,1095
334,1,0,5,60,25,1,1,3,35,0,0,0,800,1380
335,1,8,6,60,28,2,1,1,45,200,0,0,700,1529
336,1,2,2,36,49,2,2,3,75,154,14000,0,850,1263
337,1,3,3,48,38,2,1,3,90,187,2500,750,1550,1600
338,2,35,2,48,52,2,1,1,60,135,5000,0,1200,1400
339,1,3,2,48,37,3,1,1,45,160,6000,3000,1000,1520
340,1,25,2,60,42,2,1,1,60,133,9500,0,1500,1617
341,1,8,1,60,54,2,1,3,173,230,5000,0,1100,1500
343,1,2,2,30,26,2,1,1,60,50,3500,250,600,1292
344,1,17,2,48,49,2,1,3,60,189,7000,0,1100,1294
345,1,3,2,60,36,2,1,1,60,202,4600,1260,1400,1936
347,2,0,2,12,61,2,1,4,60,40,4000,0,170,1394
348,2,2,1,24,59,2,1,1,110,50,0,0,200,425
349,1,2,2,48,49,2,1,1,45,125,4000,0,500,1600
350,1,30,1,60,52,2,1,3,70,100,14500,0,1250,1563
352,2,5,4,60,25,2,1,1,75,160,1000,0,890,990
355,2,1,6,60,42,2,2,3,45,0,0,0,1600,1780
357,2,6,2,60,32,2,1,1,75,160,2200,600,1550,1600
359,1,0,2,60,52,2,1,2,45,0,10000,0,750,1244
361,1,3,2,60,33,2,2,3,75,225,2000,0,1400,1980
362,1,1,5,60,21,1,1,3,35,100,0,0,900,1290
363,2,0,2,36,34,2,1,2,75,80,4500,300,600,1339
364,1,6,2,60,27,1,1,1,35,208,6000,3300,1500,1559
365,2,21,2,60,44,2,1,1,90,105,1150,720,200,1078
367,1,7,1,18,33,2,1,1,113,532,0,0,1000,2290
369,1,2,2,48,38,2,1,1,75,90,7000,2000,500,1039
370,1,0,1,60,28,2,1,1,76,155,0,0,800,1218
372,1,10,2,36,34,2,1,1,90,159,3000,250,300,500
373,1,6,2,60,27,2,1,1,45,122,2000,1000,1300,1384
374,2,7,2,60,32,2,1,2,75,156,3500,0,1300,1553
375,1,18,2,48,43,1,1,1,35,90,2500,0,1000,1626
377,1,6,2,18,42,2,1,3,90,45,4000,34,200,1500
378,1,0,1,36,26,2,1,2,72,118,1000,0,600,1421
379,2,0,2,24,20,1,1,4,60,152,2000,0,400,480
380,1,8,1,48,24,1,1,1,49,135,0,0,1000,1274
382,1,1,1,36,35,2,1,3,66,208,4000,0,1000,1300
383,2,1,5,48,18,1,1,2,35,81,0,0,1150,1314
384,1,3,2,24,35,2,1,1,75,160,1800,0,200,957
385,1,10,1,60,33,2,1,3,75,300,2700,0,1000,1500
386,1,8,3,36,39,2,1,1,60,135,4000,1500,1300,1504
388,1,3,5,48,29,1,1,1,35,145,0,0,1000,1028
389,2,1,5,48,23,1,1,1,35,165,0,0,1300,1440
390,1,19,2,12,34,2,1,3,75,428,32000,0,500,1030
391,1,2,1,48,57,2,1,4,68,233,0,0,1200,1366
392,2,11,2,60,38,2,2,1,90,245,4000,0,1700,1768
394,2,1,2,48,42,2,2,3,75,200,9000,4500,1400,1700
395,1,15,2,60,44,2,1,3,60,42,10000,0,910,1450
396,1,10,2,48,37,5,1,1,35,87,3500,450,500,1155
397,2,1,3,48,34,2,2,3,45,200,3000,1500,1000,1191
398,1,25,2,12,43,2,1,3,75,250,100000,0,600,841
399,2,4,1,60,42,5,2,1,70,350,0,0,2200,2441
400,2,0,6,48,24,2,1,1,60,105,0,0,1200,1516
401,1,1,2,60,36,1,1,3,60,100,4500,1500,400,1591
403,1,16,5,60,34,1,1,3,35,0,12000,0,1200,1336
404,2,0,1,36,34,4,1,1,49,140,0,0,1150,1600
405,1,16,5,60,31,2,1,1,45,160,0,0,1400,1850
406,1,8,2,60,36,2,1,3,75,148,2600,0,1400,1775
407,1,20,5,36,50,2,1,3,45,113,20000,0,700,1224
409,1,20,2,60,54,2,1,1,60,107,1500,0,1250,1500
412,1,3,2,60,31,2,1,1,45,176,4500,2500,1400,1607
413,1,2,1,36,32,2,1,1,63,175,0,0,1000,1230
417,2,1,2,60,35,2,1,3,90,42,5000,100,500,1300
419,1,6,6,48,25,1,1,1,35,300,0,0,2400,2700
420,1,0,6,36,31,2,1,1,75,144,0,0,450,500
421,2,15,1,36,43,2,1,3,75,0,15000,2000,1100,1720
422,1,2,5,48,30,2,1,1,60,180,0,0,1350,1770
423,2,1,1,48,40,2,1,4,82,69,0,0,1100,1197
424,1,12,1,60,37,2,2,1,86,110,0,0,700,950
425,2,1,5,36,22,1,2,2,35,50,0,0,425,450
427,1,11,2,36,27,2,1,1,60,172,7000,0,900,1201
428,2,9,1,60,32,2,2,3,71,109,0,0,1135,1355
431,2,33,2,48,59,2,2,1,45,114,10000,0,1200,1420
434,1,5,5,60,28,2,1,1,60,195,1800,0,1000,1527
435,2,3,2,60,40,2,1,3,75,246,2500,0,1300,1500
437,1,6,2,48,27,2,1,3,60,290,4300,900,1500,2127
440,1,5,1,24,34,2,1,3,95,199,0,0,250,650
441,1,1,2,60,28,2,1,1,45,133,5000,9000,700,1175
444,1,11,2,60,28,2,1,1,45,78,4000,0,850,978
446,1,0,5,60,20,2,1,3,45,100,0,0,1850,2150
447,2,2,1,48,36,2,1,1,85,95,0,0,1340,1771
448,1,5,1,48,28,2,1,1,63,183,0,0,1100,1615
451,2,3,5,60,19,1,1,3,45,198,2500,0,1100,1194
453,1,3,1,36,23,1,1,1,50,150,0,0,1000,1128
454,1,10,2,36,47,2,1,1,60,133,3000,0,360,360
455,1,10,2,48,37,3,1,4,45,110,3000,0,500,1190
456,1,10,2,60,51,2,1,1,60,202,2000,0,1400,1580
458,1,4,2,60,49,2,1,1,45,123,5000,0,1450,1735
459,1,2,2,60,27,2,1,1,45,275,8000,4500,1500,2178
460,2,3,3,60,34,2,2,1,75,200,2500,0,1350,1589
462,2,0,2,48,29,4,1,1,35,55,4000,0,757,1566
464,1,15,2,60,34,2,1,1,75,146,5000,0,1400,1626
466,2,2,1,60,46,4,1,1,49,136,0,0,1500,1687
467,1,8,2,60,40,2,1,1,60,90,4500,0,1100,1638
469,1,7,2,60,26,2,1,1,60,116,3000,0,1400,1460
470,1,17,2,36,31,2,1,1,75,128,7000,4800,700,1400
472,1,6,2,30,45,2,1,1,90,125,3000,0,1050,1559
473,1,0,6,60,26,2,1,2,45,68,0,0,1200,1315
474,1,1,2,36,41,2,1,1,75,400,5500,0,1800,2600
475,1,6,2,48,31,2,1,1,60,251,3000,400,1000,1208
476,1,2,1,60,23,1,1,1,58,225,0,0,800,975
477,1,2,5,60,34,1,1,1,35,140,0,0,1200,1274
480,1,0,2,36,55,2,2,3,45,0,16000,0,900,1100
481,1,1,1,60,54,2,1,4,54,87,8000,0,1000,1202
482,2,2,5,54,24,1,2,3,35,0,0,0,1800,2646
483,2,15,2,60,37,2,1,4,90,90,5000,1800,1500,1816
484,2,0,1,60,43,2,1,3,75,0,0,0,1400,1700
485,1,2,5,48,26,2,1,1,60,110,10000,0,1300,1700
487,1,30,1,60,54,2,1,1,54,93,0,0,1000,1387
488,1,12,2,48,27,2,2,1,45,110,5000,1300,450,1636
489,1,2,1,60,28,1,1,1,43,81,0,0,1000,1135
491,1,7,2,60,48,2,1,3,60,155,4500,0,1400,1500
492,1,4,2,48,30,2,1,1,60,167,3500,1000,800,1350
493,1,14,3,60,28,2,1,1,60,190,18000,0,1850,2247
496,2,12,1,60,55,2,2,1,62,170,0,0,1800,2154
498,1,5,5,60,28,1,1,1,35,70,0,0,900,1492
499,2,2,2,60,31,1,1,1,35,55,7500,0,800,1351
500,2,30,5,60,56,2,1,1,45,80,10000,0,1500,2040
502,2,0,6,48,25,1,1,1,35,139,0,0,1200,1202
503,1,0,1,48,35,2,1,1,66,206,0,0,1500,1683
504,2,5,6,24,41,4,1,3,35,0,0,0,500,1000
507,1,13,3,60,33,2,1,1,75,224,7000,0,1600,1604
509,2,3,2,60,37,2,1,2,90,166,3000,0,800,877
510,1,0,2,36,54,2,1,2,60,110,11500,0,1100,1759
512,1,4,2,60,23,2,1,1,45,80,4000,0,1100,1306
513,1,10,2,24,39,2,1,1,75,150,3000,0,500,1108
514,2,1,1,36,28,1,1,3,52,170,0,0,350,1500
515,1,2,5,60,43,2,1,1,45,100,0,0,1500,1645
516,1,30,1,60,50,2,1,3,68,225,10000,0,1300,1500
517,1,3,1,60,41,2,2,1,77,166,0,0,2200,2625
519,1,10,2,42,25,2,1,1,45,110,3000,0,1500,2178
520,1,4,1,36,35,1,1,1,46,110,0,0,1000,1642
521,1,1,2,60,31,2,1,2,45,160,4000,300,1200,1265
522,1,13,5,36,43,1,1,1,35,204,0,0,200,325
523,2,4,5,60,28,2,1,2,45,135,0,0,1350,1471
524,1,1,5,48,22,1,1,3,45,158,0,0,260,1440
525,1,8,2,60,42,2,2,3,75,290,10000,0,1200,2140
526,1,14,2,60,41,2,1,1,60,100,6000,0,450,1377
528,1,1,2,18,27,2,1,2,45,149,2000,0,700,818
529,1,16,2,60,32,2,2,1,75,143,4000,0,650,1017
531,1,11,5,48,37,1,1,1,35,199,10000,0,1100,1212
532,1,40,1,36,59,2,1,1,59,142,0,0,1000,1800
533,2,13,2,54,52,2,1,1,75,80,4000,0,1300,1394
535,1,3,5,36,24,4,1,1,45,113,0,0,850,940
536,1,13,5,48,51,2,1,1,45,92,3000,500,1220,1433
537,1,7,2,36,39,2,1,3,75,205,4000,0,1300,1439
539,1,4,2,24,31,2,1,1,60,256,3000,0,600,1571
540,1,5,1,36,30,2,1,3,101,260,0,0,1000,1500
541,1,7,2,60,24,2,1,1,45,106,2500,0,1200,1258
542,1,10,2,48,31,2,1,1,60,160,4500,0,450,1403
543,1,16,2,60,39,2,1,1,60,148,3500,0,750,1346
545,1,6,2,36,37,2,1,3,75,63,4000,50,800,1637
546,1,3,2,36,38,2,1,1,75,106,8500,0,2375,2375
547,2,16,2,60,42,2,1,1,75,81,3500,0,870,873
548,2,1,5,60,23,1,1,1,35,100,0,0,1210,1450
549,2,0,6,60,40,2,2,1,75,260,2500,0,1500,1607
550,1,12,2,24,36,2,1,1,60,243,6000,0,600,1376
552,1,40,2,24,60,2,1,3,75,186,8000,0,900,1307
553,1,30,2,48,45,2,1,1,75,105,10000,2400,830,1128
556,2,13,1,60,40,4,1,3,64,35,2500,0,1920,1920
557,1,3,1,48,33,2,1,1,66,63,2000,0,800,1298
558,2,0,6,36,28,2,2,4,45,297,8000,0,1360,1362
559,2,1,1,60,33,2,1,1,91,161,0,0,1700,1770
560,1,25,2,36,51,4,1,3,35,200,5000,0,1700,2022
562,1,7,2,12,36,2,1,1,90,125,20000,0,375,724
563,1,4,5,24,23,1,1,1,35,78,3000,0,500,1346
565,1,31,1,60,51,2,2,1,135,300,0,0,1000,1380
566,2,0,6,60,31,2,1,3,60,0,0,0,1400,1500
569,1,19,2,36,52,2,1,3,45,150,15000,0,1420,2220
570,1,0,5,60,34,1,1,4,45,158,2000,0,1020,1600
571,2,3,6,36,25,1,1,1,45,0,0,0,900,1270
572,1,1,2,48,28,2,1,2,45,123,4000,1978,1100,1556
574,2,0,2,60,27,2,1,2,45,113,3000,1500,1200,1532
575,1,2,2,24,26,2,2,3,45,167,4000,0,340,900
577,2,0,3,60,47,2,1,2,75,156,2000,200,600,1556
579,2,1,2,60,42,2,1,2,120,143,5500,2000,1160,1285
580,2,17,1,48,52,2,1,1,93,180,0,0,1200,1338
581,2,0,6,60,26,1,1,4,35,0,0,0,1200,1571
582,1,5,1,36,45,2,1,4,90,150,10000,0,1100,1556
583,1,17,2,60,47,2,1,1,60,92,4500,0,1100,1194
585,1,0,2,60,50,2,1,1,75,250,15500,0,1000,1989
586,1,5,2,6,44,2,1,1,75,315,13000,0,500,2624
587,2,8,2,36,48,2,2,1,35,121,3000,0,400,925
588,1,3,2,48,19,1,1,1,35,180,4000,0,800,1128
590,1,22,2,60,46,2,1,1,90,214,8000,0,1120,1395
591,1,12,2,60,50,2,1,1,45,99,5000,0,1100,1137
592,1,12,5,36,30,2,1,3,75,110,0,0,800,875
593,2,13,3,60,30,2,2,1,75,85,3500,0,1100,1417
595,1,1,2,60,27,2,1,1,60,93,4000,0,1000,1207
597,1,1,1,48,42,2,1,3,76,160,0,0,1200,1326
600,1,20,2,36,36,2,1,1,90,464,5000,0,2000,2168
601,1,5,3,60,23,2,1,1,35,167,7000,2160,1650,2100
603,2,1,3,24,50,2,1,3,60,125,5000,3000,360,510
606,2,0,5,48,35,2,2,1,60,300,0,0,1400,1748
607,2,9,2,60,34,2,2,3,75,300,4000,300,1000,1392
608,1,9,1,60,34,2,1,1,103,128,0,0,500,820
609,1,25,2,18,49,2,1,3,90,90,4000,0,300,1275
610,2,19,2,60,37,1,2,1,35,115,10000,6000,1500,1758
611,1,10,1,60,33,2,1,1,56,107,0,0,600,1250
612,1,10,2,60,34,2,1,3,75,300,11000,0,1000,1560
613,1,10,2,48,42,2,1,3,105,230,30000,5000,1200,1570
614,1,4,2,24,32,2,1,1,45,122,4000,1,500,1045
615,1,1,5,36,19,1,1,2,35,43,0,0,425,500
616,1,1,2,48,45,2,1,3,90,250,4000,0,1700,1800
617,1,19,5,12,41,2,1,3,90,190,500,0,500,1600
619,1,2,1,48,19,1,1,3,60,246,20500,0,1370,1371
622,1,18,1,48,42,2,2,3,75,150,0,0,1000,1469
623,2,0,5,60,38,2,1,2,90,86,5000,0,1600,1682
624,1,0,5,60,22,1,1,2,45,183,4000,0,1150,1150
627,1,25,2,48,49,2,1,1,60,150,6000,0,650,1265
628,1,15,1,60,55,2,1,3,74,140,0,0,1000,1204
629,2,21,1,60,55,3,1,1,56,107,0,0,1100,1353
630,1,10,3,36,38,2,2,1,60,117,4030,0,950,1330
