,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
41592,0.132956425,48,0,0.630987182,4446.0,7,0,1,0,2.0
25246,0.9999998999999999,67,0,0.38427151299999995,17000.0,9,0,3,0,0.0
8396,0.030848458,61,0,1732.0,,9,0,1,0,
29319,0.35698725,67,0,0.10936357,2733.0,2,0,0,0,0.0
7704,0.10395533900000001,59,0,0.24154373399999998,6710.0,17,0,2,0,1.0
69358,0.879864636,61,0,456.0,,6,0,0,0,0.0
19079,0.0,59,0,0.033996762,10500.0,9,0,0,0,0.0
55709,0.653869226,62,0,0.38956661299999995,6229.0,6,0,1,0,3.0
108569,0.39782481700000005,55,0,0.11644657900000001,9995.0,6,0,1,0,1.0
8960,0.139435375,66,0,1824.0,,6,0,1,0,0.0
73454,0.0,41,2,0.287486179,20800.0,12,0,1,1,5.0
36738,0.030723037,37,0,0.5131375579999999,5175.0,10,0,2,0,0.0
19708,0.523856126,39,0,0.340653662,7740.0,13,0,1,0,1.0
67266,0.016361241999999998,57,0,0.22089825800000001,12000.0,24,0,1,0,2.0
24644,0.014174482,74,0,0.037446286,3257.0,9,0,0,0,1.0
20183,0.012472375,82,0,17.0,,9,0,0,0,0.0
127042,0.317984571,64,0,0.251974347,18866.0,12,0,2,0,0.0
31814,0.010522703999999999,86,0,0.196695096,1875.0,10,0,1,0,0.0
30991,0.19504691600000001,33,0,0.398522382,2300.0,10,0,1,0,1.0
143577,0.033715834,66,0,0.38286086700000005,3068.0,8,0,1,0,0.0
133635,0.002205726,64,0,0.160641711,14024.0,17,0,1,0,0.0
261,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0
54330,1.262719106,65,0,0.46446828799999995,17800.0,20,0,3,0,1.0
136099,0.077792264,27,1,0.20604295600000003,2746.0,3,3,0,2,0.0
58031,0.212264597,32,0,0.087685915,25750.0,10,0,1,0,3.0
65758,0.319600499,61,0,0.00137228,5100.0,4,0,0,0,1.0
83358,0.160904619,65,0,0.004999929,70000.0,4,0,0,0,1.0
18540,0.280571731,52,0,0.089955022,2000.0,7,0,0,0,0.0
62550,0.046224118,52,0,0.13981553300000002,11600.0,11,0,2,0,0.0
149344,0.016842105,58,0,0.09619597699999999,5020.0,9,0,0,0,0.0
51818,0.785020281,29,2,0.323823458,4100.0,7,2,0,0,0.0
115987,0.0,35,0,0.33406406,8210.0,7,0,1,0,1.0
115290,0.632247596,68,0,0.143485651,10000.0,9,0,0,0,1.0
120499,0.012465836000000001,56,0,0.000749513,6670.0,3,0,0,0,0.0
99639,0.822798178,54,0,0.9430713690000001,3600.0,20,3,2,1,1.0
5955,0.237594957,55,0,0.151469252,3300.0,7,0,0,0,0.0
148288,0.9685612579999999,49,0,0.13339731300000002,8335.0,4,0,0,1,1.0
10396,0.930027989,29,0,0.33383308300000003,2000.0,4,0,0,0,0.0
107132,0.02623575,63,0,0.007635253000000001,4583.0,7,0,0,0,0.0
131103,0.04621108,51,0,0.114222144,40000.0,11,0,2,0,2.0
104940,0.10228683300000001,52,1,0.35225216600000003,10500.0,13,0,1,0,0.0
48838,0.8610555559999999,51,1,0.352599179,5847.0,16,0,0,0,0.0
98162,0.9999998999999999,71,0,0.46945898799999997,9167.0,4,0,2,0,0.0
118819,0.16341229,43,0,0.537355671,8833.0,11,0,3,0,2.0
4879,0.017512196,56,0,2135.0,,10,0,1,0,5.0
105105,0.5581104720000001,42,0,0.038080334,3833.0,4,0,0,0,4.0
43824,0.054696594,59,0,0.264021247,6400.0,18,0,1,0,3.0
91959,0.37231976299999997,78,0,0.517775752,5484.0,6,0,1,0,0.0
40207,0.022244284,58,0,0.078427016,4500.0,8,0,0,0,2.0
121046,0.9999998999999999,43,1,0.761809548,4000.0,6,0,1,0,2.0
114676,0.0071894490000000005,40,0,0.299041336,9700.0,11,0,2,0,2.0
50069,0.119103305,56,0,0.497229917,4331.0,16,0,2,0,1.0
120940,0.028529421,56,0,2592.0,,12,0,2,0,0.0
116662,0.064853437,56,0,3513.0,,6,0,3,0,3.0
91980,0.027762241,48,0,0.25012149699999997,6172.0,7,0,1,0,1.0
112845,0.191137775,45,2,1.228532485,2200.0,11,0,1,0,2.0
75103,0.9999998999999999,42,0,4424.0,,5,0,2,0,0.0
72218,0.9999998999999999,49,1,1.117339529,3442.0,5,0,1,0,2.0
130711,0.024931671000000002,39,0,0.555737705,4879.0,6,0,3,0,2.0
65094,0.041247422,54,0,0.002279818,8333.0,3,0,0,0,0.0
64068,0.625966251,40,0,0.043387199,48700.0,11,0,2,0,0.0
123515,0.003349833,57,0,0.25300504100000004,5157.0,2,0,1,0,1.0
116222,0.003555845,79,0,938.0,,11,0,1,0,0.0
100595,0.0,21,0,0.0,,1,0,0,0,0.0
96163,0.289095196,49,0,0.505382997,8080.0,24,0,2,0,2.0
51514,0.514817451,48,0,0.7644118109999999,6400.0,19,0,1,0,1.0
136066,0.002367408,40,0,0.585828343,1001.0,12,0,0,0,0.0
80236,0.172293148,50,0,0.829564682,6500.0,21,0,4,0,0.0
50189,0.052907425999999994,38,0,0.41079774399999996,6204.0,12,0,1,0,3.0
18350,0.038919167000000005,32,0,0.158508159,8150.0,5,0,1,0,2.0
142622,0.034938062,79,0,0.006268437,8135.0,3,0,0,0,0.0
58080,0.139057396,41,0,0.046804527,11750.0,5,0,0,0,2.0
379,0.186890655,54,0,0.655589124,3640.0,7,0,1,0,1.0
42028,0.509936183,38,0,0.801389327,3166.0,7,0,2,0,1.0
97216,0.070283889,57,0,0.53444789,7416.0,9,0,3,0,1.0
77483,0.28705406699999997,39,1,0.36828377700000003,5750.0,15,0,2,0,0.0
1967,0.335712013,41,0,0.648859731,3200.0,3,0,2,0,0.0
135292,0.0,30,1,0.678464307,5000.0,13,0,2,0,0.0
102721,0.114706004,80,0,0.117110544,2740.0,2,0,0,0,0.0
126478,0.029424906,69,0,0.486895925,6600.0,10,0,1,0,0.0
31600,0.19528788600000002,31,0,729.0,,6,0,0,0,0.0
88376,0.047908462,64,0,0.310384231,7000.0,13,0,3,0,0.0
51910,0.23458847100000002,73,0,0.607874016,634.0,8,0,1,0,0.0
89821,0.48721611200000003,31,0,0.143245342,2575.0,7,0,0,0,0.0
24012,0.12555465300000002,28,0,0.44761508,4800.0,5,0,2,0,0.0
75577,0.7251160390000001,45,0,0.52308528,1840.0,8,0,0,0,3.0
99095,0.07635257599999999,93,0,0.027941552999999997,3900.0,2,0,0,0,0.0
104668,0.036761211,57,0,0.20242573600000002,15417.0,22,0,2,0,0.0
124522,0.720249045,37,0,0.608956854,1830.0,18,0,0,0,3.0
13229,0.335748245,49,0,0.19960930600000001,5630.0,8,0,0,0,2.0
11134,0.365649586,45,0,0.278418705,6500.0,7,0,1,0,3.0
134583,0.091311998,60,1,0.10653273699999999,13638.0,14,0,1,0,0.0
66842,0.19995604600000003,27,0,0.19046058,6100.0,10,0,0,0,1.0
52387,0.798345492,57,0,7504.0,,20,0,2,0,0.0
132901,0.16439146300000002,35,0,0.01561524,1600.0,2,0,0,0,0.0
21004,0.819601087,54,0,5.054228913999999,8500.0,35,0,2,0,0.0
139451,0.011332956000000002,47,0,0.001176332,8500.0,2,0,0,0,1.0
68111,0.112559113,52,0,0.371942778,6500.0,18,0,1,0,0.0
24340,0.20705611699999998,37,1,0.532917063,7366.0,17,0,1,0,2.0
37984,0.138212172,67,0,2208.0,,13,0,0,0,3.0
103830,0.007607175,45,0,0.00659868,5000.0,5,0,0,0,1.0
57138,0.9999998999999999,37,0,0.0,4690.0,1,0,0,0,0.0
30175,0.36214561799999995,35,0,0.279696041,7500.0,10,0,0,0,0.0
71499,0.0,73,0,0.201996323,7613.0,3,0,2,0,0.0
950,0.040547951,74,0,0.020736901000000002,5400.0,5,0,0,0,0.0
29756,0.5843513220000001,54,0,1453.0,,3,0,1,0,0.0
108996,0.084416512,38,0,0.105910956,6580.0,7,0,0,0,0.0
5492,0.192194427,46,1,0.6119971439999999,4200.0,9,0,1,0,2.0
72293,0.029271663,42,0,0.18064247,4793.0,6,0,1,0,1.0
86836,0.01379954,62,0,12.0,,2,0,0,0,0.0
138012,0.389547097,44,3,0.512801756,4100.0,11,0,2,0,1.0
26204,0.466613355,28,0,0.14474651,1360.0,4,0,0,0,0.0
77616,0.072850169,67,0,1.012435991,4100.0,9,0,2,0,1.0
24846,0.8502716579999999,64,0,0.513302487,6915.0,4,0,1,0,0.0
59494,0.086451926,73,0,98.0,,5,0,0,0,0.0
114112,0.001703672,67,0,0.422915417,5000.0,7,0,2,0,2.0
68985,0.999597342,32,0,0.27367883600000004,3916.0,12,0,0,0,0.0
76988,0.017392351,54,0,0.274483678,1500.0,7,0,0,0,0.0
16108,0.464688971,29,0,0.13034188,6083.0,9,0,0,0,0.0
9503,0.030298485,37,0,0.314575412,3944.0,7,0,1,0,1.0
10871,0.008922443,50,0,2.479927284,6600.0,16,0,3,0,0.0
57863,0.629229766,54,0,2.298507463,200.0,6,0,0,0,1.0
61113,0.089710762,56,0,489.0,,13,0,0,0,0.0
40012,0.016449589,38,0,0.051561912,7970.0,3,0,0,0,0.0
5615,0.18363908899999998,51,0,2373.0,,13,0,1,0,0.0
71708,0.062492951,40,0,1.011247188,4000.0,15,0,3,0,1.0
103168,0.001619165,54,0,0.571618921,1500.0,11,0,0,0,0.0
58394,0.08468854699999999,67,0,0.7289301690000001,5813.0,13,0,2,0,0.0
47168,0.456154172,48,0,0.03124566,7200.0,1,0,0,0,2.0
26380,0.23708348399999998,49,0,1457.0,,18,0,1,0,0.0
62852,0.036178563999999996,76,0,0.342841909,3750.0,16,0,2,0,0.0
15839,0.052907443,65,0,0.055403303,13500.0,4,0,0,0,0.0
62517,0.020845934,69,0,0.15538417599999998,3500.0,3,0,0,0,0.0
98437,0.010351033,72,0,1830.0,,36,0,2,0,0.0
109545,0.335988,46,0,0.5230522089999999,6224.0,7,0,2,0,0.0
32103,0.021894278,63,0,0.449275362,5864.0,9,0,2,0,0.0
28202,0.10708913,64,0,0.407858861,12469.0,23,0,3,0,1.0
86739,0.118588927,54,0,0.072372865,10362.0,8,0,1,0,0.0
13381,0.204431823,60,0,0.04269573,10000.0,6,0,0,0,1.0
7848,0.10350887800000001,36,0,0.385589594,5842.0,8,0,2,0,3.0
114103,0.12548578300000002,55,1,0.312306853,5500.0,22,0,1,0,0.0
64067,0.000124415,59,0,1659.0,,8,0,1,0,1.0
147005,0.712050745,43,0,0.657153245,5500.0,20,0,2,0,1.0
83910,0.026129095,55,1,0.36765058799999994,12500.0,23,0,2,0,2.0
36931,0.021895797,57,0,2090.0,,8,0,1,0,0.0
50489,0.058379562,64,0,77.0,,9,0,0,0,0.0
14469,0.189950924,58,0,0.28963011899999996,9083.0,13,0,2,0,1.0
75079,0.08510410300000001,38,0,2099.0,,7,0,1,0,0.0
41661,0.9999998999999999,63,0,0.315698573,11000.0,5,0,2,0,2.0
141622,0.084212281,78,1,773.0,,4,0,1,0,0.0
99945,0.788249625,38,1,0.600127389,7849.0,17,0,2,0,3.0
73036,0.0,59,0,0.0,5750.0,3,0,0,0,0.0
105167,1.060967988,57,2,0.314037193,3333.0,2,0,0,0,0.0
57281,0.116237799,47,1,29136.0,,23,0,2,0,0.0
105216,0.9999998999999999,29,0,0.0,1700.0,1,0,0,0,0.0
115961,0.003649939,47,0,0.17927710800000002,6224.0,7,0,1,0,1.0
95642,0.7450935320000001,31,0,0.571154308,4166.0,11,0,1,0,0.0
121711,0.300021806,74,1,0.295710121,2400.0,11,0,1,0,0.0
116508,0.003116843,46,2,0.41868191299999996,12942.0,14,0,3,0,2.0
34413,0.9999998999999999,33,0,0.8309398290000001,5500.0,12,0,2,0,1.0
147041,0.003771321,26,0,0.231896935,2250.0,4,0,0,0,0.0
81717,0.017636813,69,0,0.018691588999999998,3958.0,11,0,0,0,0.0
23193,0.0,72,0,0.283648658,13900.0,10,0,2,0,0.0
822,0.178964154,56,0,0.552930754,6772.0,6,0,1,0,1.0
25883,0.015811512,58,0,7.0,,4,0,0,0,0.0
42211,1.156146179,43,0,1321.0,,5,0,1,0,0.0
74524,0.0,76,0,1.0,,2,0,0,0,
44275,0.025450801000000002,74,0,0.31404848,7466.0,14,0,1,0,2.0
87325,0.010009462,86,1,0.000633312,9473.0,9,0,0,0,0.0
136765,0.0,22,0,0.012180268000000001,820.0,2,0,0,0,0.0
120992,0.015212865,59,0,0.151041054,8500.0,9,0,1,0,0.0
19142,0.210299106,63,0,2805.0,,7,0,2,0,0.0
119190,0.242737738,45,0,0.30482987100000003,7846.0,8,0,2,0,4.0
148181,0.0,56,0,1310.0,,6,0,1,0,5.0
128765,0.05676666,26,0,317.0,,7,0,0,0,0.0
116461,0.9999998999999999,90,0,303.0,,0,0,0,0,0.0
127758,0.289939075,60,1,0.765489674,1500.0,16,0,0,0,0.0
142067,0.590277268,66,1,0.458756874,6000.0,9,0,1,0,0.0
118239,0.9999998999999999,36,0,0.0,4975.0,0,0,0,0,0.0
90658,0.0,73,3,0.065993598,4060.0,13,0,1,0,0.0
64232,0.9999998999999999,64,0,0.491131893,3100.0,5,0,3,0,0.0
144541,0.19679016,74,0,0.146829201,7300.0,3,0,1,0,0.0
99294,0.18347761899999998,70,0,1.259474053,10000.0,14,0,9,0,0.0
80283,0.9999998999999999,26,0,0.149023171,2200.0,3,0,0,0,0.0
73894,0.015282054,70,0,0.24450366399999998,1500.0,6,0,0,0,0.0
81654,0.03053654,78,0,0.011358473000000001,2200.0,5,0,0,0,0.0
89436,0.025294801000000002,61,0,0.35926114200000003,5900.0,11,0,1,0,0.0
126742,0.673069936,59,1,0.436351706,7619.0,10,0,2,0,0.0
6096,0.163968692,55,0,0.250188395,27866.0,24,0,1,0,3.0
110242,0.033728464,50,0,1.281874795,3050.0,12,0,3,0,0.0
77183,0.05107604,66,1,1960.0,,11,0,1,0,0.0
129825,0.063358284,62,0,0.20641041100000002,8298.0,12,0,1,0,1.0
65731,0.0,51,0,0.319278418,4600.0,9,0,3,0,2.0
57556,0.022162973,42,0,1184.0,,6,0,1,0,0.0
23018,0.18168532,63,0,0.347896816,4302.0,6,0,1,0,0.0
29385,0.012590421999999999,53,0,0.23272403,11214.0,7,0,2,0,0.0
98822,0.510731857,57,0,0.42276617899999996,12500.0,14,0,4,0,3.0
38759,0.188514357,51,0,0.7043294609999999,946.0,4,0,1,0,0.0
51324,0.032348383,88,0,19.0,,3,0,0,0,
12388,0.9999998999999999,44,1,0.410317936,5000.0,10,0,2,0,0.0
20333,0.37484376799999997,36,0,0.21347861199999998,2477.0,6,0,0,0,0.0
118151,0.423540356,62,0,0.829973602,8333.0,14,0,5,0,1.0
42961,0.00897972,59,0,2525.0,,19,0,2,0,0.0
73032,0.02847221,58,0,0.03869598,14600.0,4,0,0,0,1.0
75117,0.06673849999999999,49,1,0.309584727,10161.0,14,0,2,0,0.0
52002,0.647466112,46,0,0.559880936,21500.0,19,0,13,0,0.0
122230,0.9940668640000001,51,0,0.898138833,3975.0,11,0,2,0,0.0
77941,0.04312856,68,0,2713.0,,11,0,2,0,0.0
120535,0.210669423,47,0,0.265341832,8000.0,11,0,1,0,2.0
124026,0.635157244,47,0,0.6251786,6298.0,5,0,2,0,1.0
25145,0.624497481,44,0,0.8060089020000001,8087.0,10,0,2,0,2.0
804,0.06740074900000001,26,0,0.166517857,4479.0,10,0,0,0,0.0
116160,0.02392504,86,0,0.013473054,1335.0,3,0,0,0,0.0
99590,0.651573359,64,0,0.5779153770000001,5813.0,10,0,1,0,0.0
5331,0.001595711,76,0,2.0,,2,0,0,0,0.0
65482,0.20152106600000003,35,0,0.459588848,3550.0,8,0,1,0,2.0
107922,0.5183585310000001,31,0,0.140613847,1400.0,4,0,0,0,2.0
86746,0.165361903,48,0,0.48507539200000005,9748.0,11,0,3,0,0.0
54707,0.060461263,61,0,0.241101617,16266.0,9,0,2,0,1.0
41494,0.558295436,47,2,0.65526971,6024.0,15,0,2,0,2.0
29973,0.021848992,77,0,30.0,,5,0,0,0,0.0
23948,0.030848458,68,0,0.065607451,7300.0,5,0,0,0,1.0
37683,0.007088508,56,0,0.0042411390000000005,3300.0,9,0,0,0,0.0
42062,0.191907772,53,0,0.34849608600000004,12134.0,12,0,1,0,2.0
35276,0.66548727,59,0,1993.0,,11,0,0,0,0.0
23279,0.953139552,69,0,0.510677809,14000.0,10,0,2,0,0.0
123501,0.0,85,0,7.0,,5,0,0,0,0.0
98712,0.982035928,30,0,0.250262881,950.0,2,0,0,0,0.0
131619,0.068096122,62,0,4162.0,,6,0,1,0,0.0
118032,0.075096179,50,0,0.593629482,7000.0,15,0,2,0,0.0
125503,0.9999998999999999,24,1,0.111056269,2025.0,0,0,0,0,0.0
55643,0.0,60,0,0.0,,1,0,0,0,0.0
2063,0.16340064199999998,63,0,279.0,,3,0,0,0,0.0
19698,0.20271808100000002,48,0,0.641600417,7672.0,13,0,2,0,2.0
18796,0.0,52,0,0.351901446,5600.0,4,0,1,0,0.0
99541,0.408157007,54,0,0.393989983,9583.0,15,0,1,0,0.0
44648,0.0,41,0,1886.0,,4,0,1,0,0.0
83627,0.9999998999999999,22,0,0.0,820.0,1,0,0,0,0.0
82908,0.81278309,43,0,0.17640524300000002,4500.0,7,0,0,0,3.0
10899,0.8184919420000001,33,0,0.322220499,6448.0,4,0,1,0,0.0
24394,0.44158141700000003,68,0,0.18251928,3500.0,6,0,1,0,0.0
113992,0.12767785,63,0,0.16272377,20500.0,13,0,2,0,0.0
57580,0.008437235999999999,82,0,0.002710945,2950.0,2,0,0,0,0.0
31259,0.8941652520000001,57,1,1.0665,3999.0,8,0,1,0,0.0
116769,0.087449246,57,0,0.91552112,4000.0,3,0,1,0,0.0
96935,0.693404592,43,0,0.222865777,3970.0,5,0,0,0,3.0
136820,0.12564572599999999,51,0,0.28309741899999996,1200.0,3,0,0,0,0.0
105878,0.28931128100000003,54,0,0.137577556,3706.0,7,0,0,0,2.0
89559,0.0,84,0,0.0,,2,0,0,0,
66947,0.03959496,80,0,58.0,,8,0,0,0,0.0
113530,0.105059556,45,0,0.320139697,7730.0,18,0,1,0,2.0
29354,0.039191284,61,0,0.172273409,14000.0,13,0,0,0,1.0
129659,0.010999421,37,0,0.286883011,11000.0,10,0,2,0,2.0
