,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
30556,0.269296783,40,1,0.428433269,11373.0,17,0,3,0,2.0
12493,0.9999998999999999,44,0,0.0037921879999999997,2636.0,0,2,0,0,1.0
111129,0.023460787,53,0,0.471168831,9624.0,7,1,3,0,0.0
7666,1.0790525990000002,36,1,3866.0,,12,0,2,2,
108266,0.5040919460000001,41,1,0.640109058,3300.0,10,0,1,0,2.0
144379,0.9999998999999999,49,1,356.0,,0,4,0,0,2.0
108241,0.9999998999999999,48,98,0.0,2000.0,0,98,0,98,2.0
97088,0.980403919,50,1,0.394512084,5502.0,9,0,2,0,0.0
71066,0.9999998999999999,36,0,9.0,,0,0,0,0,0.0
59853,0.9999998999999999,55,0,0.0,1000.0,0,1,0,0,0.0
103405,1.05345502,59,3,171.0,,6,0,0,0,0.0
105343,0.827723147,59,0,0.18060161100000002,8443.0,18,0,1,0,1.0
135227,0.319295254,52,0,0.56958275,12150.0,18,0,2,0,3.0
55937,0.9999998999999999,36,1,0.124399154,5200.0,2,2,0,1,0.0
14617,0.39937076899999996,64,0,0.883748517,5900.0,22,0,2,0,1.0
51521,0.107817187,40,4,0.38362404200000005,9000.0,4,0,1,1,1.0
110462,0.538424912,53,2,0.349854227,5830.0,5,1,2,1,2.0
133120,0.89376715,63,1,1635.0,,2,2,1,3,0.0
58078,0.24234283199999998,53,0,0.36506687600000004,10167.0,13,0,2,0,4.0
71223,0.9999998999999999,26,0,0.105526243,3600.0,2,1,0,0,0.0
112544,0.9999998999999999,58,1,444.0,,1,2,1,0,0.0
33789,0.00035292699999999995,73,0,0.214317943,6648.0,14,1,0,0,0.0
32820,0.120186661,74,1,0.079684764,2283.0,3,2,0,0,1.0
95106,0.9999998999999999,43,0,0.069272446,2583.0,1,1,0,0,0.0
93928,2.658585354,36,0,0.262861904,4800.0,5,0,0,0,2.0
112513,0.984015984,32,0,0.104631789,3000.0,2,2,0,1,1.0
53281,1.916943522,59,2,0.085560469,5200.0,4,1,0,2,1.0
8920,0.6519375589999999,49,2,0.5696491229999999,11399.0,26,0,4,0,0.0
57162,1.0643895909999999,38,5,0.545038486,4806.0,11,0,2,0,0.0
96888,0.519153182,58,0,0.220229344,3400.0,9,0,0,0,0.0
12075,0.9999998999999999,31,0,0.0,,0,0,0,0,0.0
143574,0.9999998999999999,57,2,0.316170957,4000.0,4,0,0,2,1.0
25869,0.387700439,62,1,0.501933076,7500.0,11,2,2,0,1.0
130209,0.9999998999999999,36,0,0.012699788,60000.0,2,2,0,0,0.0
109121,0.980464544,50,2,0.843156357,2052.0,7,0,1,0,2.0
7384,0.903013855,46,1,0.28397603899999996,5341.0,4,2,0,1,1.0
26668,0.26056397,50,3,0.538659478,8160.0,13,0,1,2,0.0
56215,0.931943854,57,1,0.097242686,4750.0,8,2,0,1,0.0
78704,0.079991112,53,4,1.767906718,1800.0,11,0,3,0,0.0
10119,0.9999998999999999,31,0,0.017414766,4076.0,1,0,0,0,0.0
102774,0.718658668,46,0,5932.0,,6,0,2,0,2.0
21315,0.12222149800000001,33,0,0.242651657,3197.0,7,0,0,0,0.0
10223,0.888712953,59,5,3252.0,,12,1,2,0,0.0
84917,0.389599189,44,2,0.703288428,11950.0,18,1,5,0,2.0
16104,1.022996167,36,0,0.359238955,3100.0,4,0,1,2,1.0
15687,0.9999998999999999,26,0,0.265631223,2510.0,3,0,0,0,2.0
38437,0.42924674399999996,60,3,1.50041632,1200.0,16,0,0,0,0.0
117496,0.101265823,36,0,0.227738377,2537.0,9,2,0,0,1.0
111966,0.9999998999999999,45,0,0.332472007,1160.0,8,0,0,0,1.0
74872,0.903654485,46,0,3436.0,,4,0,2,0,0.0
67804,0.9999998999999999,36,0,0.009327115,1500.0,0,4,0,0,0.0
101323,0.817204301,36,2,0.27683197600000004,1350.0,9,0,0,0,1.0
145249,0.65435641,45,1,0.548854605,6416.0,17,0,1,1,1.0
58973,0.721447418,53,0,0.354822335,11819.0,10,0,2,0,0.0
6423,0.9999998999999999,62,0,0.370758123,2769.0,4,0,0,0,0.0
13044,0.26204215,57,1,0.385427666,10416.0,16,0,1,0,2.0
109348,1.223880597,45,1,0.17994002,3000.0,4,3,0,0,2.0
54436,0.9999998999999999,33,0,0.040856622,6583.0,9,1,0,0,2.0
8231,0.943343273,52,0,0.264789408,25000.0,7,0,0,1,3.0
43105,0.995001136,37,0,0.321441843,2690.0,18,0,0,0,2.0
121138,0.9999998999999999,62,1,1465.0,,1,0,0,0,0.0
85422,0.0,71,1,0.028630032000000003,11700.0,6,0,1,0,0.0
74410,0.9999998999999999,34,0,54.0,,1,0,0,0,0.0
37285,0.172725871,64,0,0.25853741199999997,11800.0,18,0,1,0,0.0
107208,0.9999998999999999,24,1,0.148243359,3500.0,2,1,0,0,0.0
72091,0.9999998999999999,30,0,0.0,2120.0,0,0,0,0,2.0
65729,0.036942262999999996,43,0,0.7191737990000001,55966.0,41,0,29,0,0.0
110724,0.9999998999999999,29,0,40.0,,4,6,0,0,0.0
113935,0.206332194,86,1,0.200275767,2900.0,15,0,0,0,0.0
1649,0.922505535,45,0,0.501614046,12700.0,11,0,4,0,1.0
132843,0.5789314210000001,91,0,0.29757619399999996,4166.0,4,4,0,1,1.0
80807,0.9999998999999999,45,1,0.10281143400000001,8500.0,2,1,0,0,4.0
126830,0.0499002,31,0,0.051212271,4041.0,3,2,0,1,4.0
25360,0.7249100359999999,49,0,0.285047767,4500.0,8,0,1,0,0.0
43608,0.9999998999999999,39,1,0.783777298,4166.0,4,0,1,0,0.0
108591,0.205253872,55,1,0.255372314,2000.0,3,0,0,1,2.0
16580,0.7865844670000001,61,0,1.732325695,2050.0,12,0,3,0,0.0
91195,0.173138149,58,0,0.09026852,5250.0,9,0,0,0,0.0
127038,0.415430267,52,6,0.394810738,8902.0,18,1,3,0,2.0
93456,0.875496409,47,1,0.38330198200000004,6910.0,7,0,2,0,0.0
123035,0.483011326,32,1,0.231345948,2800.0,8,0,0,0,0.0
68584,0.739409283,42,3,0.714157438,3340.0,11,3,1,1,4.0
63791,0.9999998999999999,45,0,309.0,,4,1,0,4,0.0
126362,1.111296235,40,2,0.553899291,5500.0,5,2,1,1,1.0
55155,0.8670189970000001,55,1,2296.0,,5,2,2,1,0.0
62593,0.869855602,48,1,0.386540161,21500.0,27,0,8,0,1.0
103375,0.053130070999999994,78,0,0.066343042,617.0,3,0,0,0,0.0
10551,0.9093062009999999,66,0,0.417904204,4780.0,19,0,0,1,0.0
126696,0.005997601,31,1,0.10558464199999999,4583.0,4,0,0,1,2.0
26861,0.928126769,47,1,0.078368653,2500.0,3,0,0,1,0.0
16076,1.314307141,37,0,0.49619085799999996,4987.0,9,0,1,0,1.0
38955,0.9999998999999999,34,0,0.106323053,7100.0,6,0,0,0,2.0
63631,0.069723888,40,0,0.037488285,3200.0,10,0,0,0,2.0
98145,0.080932517,80,0,1.0,2500.0,11,0,1,2,0.0
52077,0.9999998999999999,25,0,0.037613489,3083.0,2,1,0,0,0.0
35873,0.154724314,44,0,0.7274167990000001,4416.0,10,0,3,0,0.0
125849,0.9999998999999999,58,0,0.094089974,3400.0,2,0,0,1,1.0
117615,0.9999998999999999,28,98,8.0,,0,98,0,98,0.0
134440,1.28685259,50,0,0.059957172999999996,1400.0,1,0,0,0,2.0
99092,0.983708568,60,1,0.578915572,6620.0,16,0,1,2,0.0
144018,0.239872735,48,0,0.184094256,8826.0,9,0,0,1,0.0
73902,0.473652635,45,0,1.196865818,1020.0,5,0,1,0,2.0
60519,1.144038594,39,4,3899.0,,7,1,2,2,0.0
77393,1.149390661,39,0,0.556205803,4100.0,5,5,2,2,1.0
44462,0.784431138,36,2,0.5207417320000001,5230.0,3,2,1,0,0.0
5909,0.902408675,51,2,0.7132352940000001,1767.0,8,0,1,1,1.0
145248,0.44584215,47,3,0.537244694,9987.0,14,0,2,0,2.0
100349,1.313373253,32,1,0.005065315999999999,3750.0,3,1,0,0,2.0
140591,0.57888986,49,3,0.44930020000000004,3500.0,7,1,1,1,0.0
685,0.9907644259999999,36,2,0.361340457,4117.0,4,0,0,0,1.0
60461,0.36027197899999996,61,0,0.277280702,11399.0,17,0,1,0,0.0
55833,0.9999998999999999,56,0,0.0,637.0,0,0,0,0,0.0
136676,0.21660572,49,1,0.38160115,16000.0,11,0,3,0,3.0
137965,0.635484788,73,1,0.672546196,8333.0,13,4,4,0,0.0
13216,0.9999998999999999,30,1,0.109424181,5400.0,4,3,0,2,0.0
24451,0.9999998999999999,30,0,0.005640303,7800.0,0,0,0,1,1.0
7078,0.9739657740000001,57,4,0.564327485,9233.0,15,0,1,1,0.0
91434,0.8508302459999999,49,0,0.529635098,4740.0,17,0,2,0,1.0
132329,0.9999998999999999,71,4,0.278454577,2872.0,4,1,1,2,0.0
114704,0.612644579,55,0,0.263680832,6541.0,9,0,0,0,0.0
63234,0.9999998999999999,79,0,10.0,,2,0,0,0,0.0
70025,1.0883592229999999,55,2,0.285573123,7083.0,5,1,1,1,0.0
86683,0.700670657,37,0,0.313614398,6000.0,12,0,0,0,0.0
51736,0.798403194,37,2,0.18735534199999998,8208.0,4,1,0,1,2.0
118615,0.855749645,46,0,0.33634853200000003,5416.0,5,0,1,0,0.0
944,0.913773615,55,2,0.881655429,4300.0,17,0,2,0,1.0
45998,0.0,30,0,0.0,1417.0,1,0,0,0,1.0
144261,0.9999998999999999,46,1,1592.0,,2,2,2,0,
70191,0.8103300659999999,72,2,0.6763260459999999,5900.0,11,0,0,0,0.0
108677,1.215568862,58,0,0.15932563800000002,6583.0,2,1,1,1,1.0
30321,0.023255137999999998,27,0,0.138141576,5240.0,11,1,0,0,0.0
40258,0.9810063309999999,24,1,0.01223951,25000.0,6,0,0,0,0.0
123752,0.54387264,49,3,0.662800163,4913.0,3,0,1,1,0.0
58350,0.9999998999999999,57,2,0.7481892809999999,4141.0,7,1,1,1,1.0
24091,0.9999998999999999,42,1,1422.0,,1,1,1,1,
11762,1.419301165,28,0,0.159868026,3333.0,3,1,0,3,1.0
37869,0.9884965929999999,52,5,1.7296683330000002,2200.0,14,0,3,1,1.0
53310,1.050599201,31,3,0.6238283689999999,4800.0,11,1,2,0,0.0
62873,0.043173460999999996,56,1,0.155514536,4333.0,9,0,1,0,1.0
43444,1.2558139529999999,42,3,0.477626459,3083.0,6,3,1,2,3.0
41999,1.043123953,73,0,0.212158273,13899.0,21,0,0,0,0.0
57031,0.017891457,52,0,0.46623786,39333.0,18,0,7,0,3.0
73122,0.588426447,41,0,0.273500726,4818.0,7,0,0,3,3.0
120332,0.047130190999999995,45,0,0.584773604,7000.0,8,0,2,0,0.0
24646,0.483711835,42,1,0.380871534,7067.0,7,0,2,0,1.0
120836,0.27290903,35,0,0.437391136,5166.0,5,0,1,2,1.0
17406,0.008366493000000001,26,0,0.120399818,2200.0,9,0,0,0,0.0
60906,0.001313065,34,0,0.18293979999999999,4700.0,2,0,1,0,4.0
66529,0.511096462,51,0,68.0,,3,0,0,0,0.0
26032,1.07189029,53,3,1.4088920630000001,11200.0,17,0,8,1,1.0
49842,0.9999998999999999,29,0,707.0,,5,0,0,0,0.0
92719,0.162091545,99,1,150.0,,2,0,0,0,
119877,0.622772594,39,0,1.358880373,3000.0,12,0,6,0,0.0
5155,1.062392987,46,1,0.29356881,3000.0,7,0,0,0,0.0
97903,0.81759609,32,0,2841.0,,7,0,2,0,1.0
73986,0.328029965,52,1,17.52481777,2880.0,14,0,1,0,0.0
82356,1.053209678,58,3,0.098159162,17654.0,9,2,0,4,0.0
134552,0.708335059,49,0,0.435007917,6946.0,8,0,2,0,0.0
13397,0.8420789609999999,28,1,0.317770367,2098.0,3,0,0,0,0.0
138474,0.029284552000000002,37,0,0.933522497,7400.0,9,1,1,0,2.0
15986,0.498410055,41,0,0.51867788,5112.0,9,0,2,0,3.0
106286,0.9999998999999999,63,0,0.294705786,6100.0,1,2,1,0,0.0
64988,0.930645383,48,1,1291.0,,12,0,0,0,0.0
93033,0.00478862,63,0,1935.0,,12,0,3,0,0.0
82112,1.044439507,48,2,0.264092398,5800.0,5,0,0,0,3.0
123611,0.9515783459999999,47,3,0.310960371,2800.0,4,0,1,0,2.0
131533,0.9999998999999999,42,0,0.0,5000.0,0,0,0,0,2.0
88627,0.49663565,62,0,0.422711968,9800.0,9,0,1,0,5.0
140845,0.801578218,54,2,0.460089985,6000.0,12,0,2,1,1.0
69763,0.7838926829999999,56,1,0.83983119,4975.0,10,2,2,0,0.0
132061,0.051049562,53,0,0.41196172200000003,4179.0,12,1,2,0,1.0
84120,0.304242395,69,1,0.16304347800000002,5703.0,6,0,0,0,1.0
107782,0.866251268,39,4,0.363471149,2200.0,5,0,1,0,2.0
38286,0.0,28,0,0.561998766,1620.0,8,0,0,0,0.0
101221,0.7206567159999999,68,0,1473.0,,13,0,0,0,0.0
129466,0.546308676,36,0,1.178397579,7600.0,12,0,4,0,0.0
22729,1.056839475,23,0,0.111269615,700.0,2,2,0,0,3.0
77867,0.061220155,62,0,0.44382780899999996,6666.0,7,0,1,0,3.0
28675,0.9999998999999999,24,0,3.0,,1,0,0,0,0.0
86113,0.9999998999999999,44,0,1374.0,,1,1,1,0,4.0
95137,1.031996632,55,0,1.316683317,1000.0,4,0,2,0,0.0
94799,0.691918598,60,0,0.42792995100000003,2226.0,8,0,0,0,0.0
32999,0.5858046170000001,62,0,0.534616346,4000.0,11,0,0,1,0.0
32517,0.0035263770000000002,75,0,769.0,,8,0,1,0,0.0
65308,0.945091514,62,2,0.937250428,1752.0,5,0,1,0,0.0
43860,0.9999998999999999,58,1,0.17379879899999998,2663.0,2,0,0,0,1.0
68628,1.3096129840000001,23,1,0.331138288,2125.0,4,0,0,0,1.0
33023,0.7934539190000001,45,0,0.14214308,3200.0,5,0,0,0,0.0
136337,0.601993287,55,0,1.188371481,3800.0,20,0,2,0,1.0
87196,0.9999998999999999,39,0,0.0,,0,0,0,0,0.0
14030,1.143237841,40,1,0.310949788,4958.0,7,0,1,0,1.0
52594,0.99440112,64,2,0.546542235,4178.0,4,1,0,1,3.0
117634,0.9999998999999999,56,0,0.198698393,4916.0,3,0,0,0,4.0
92816,0.0,28,2,0.314166032,2625.0,6,1,0,0,0.0
3417,0.834839454,36,1,0.212615792,6800.0,10,1,0,3,3.0
83966,0.9999998999999999,29,0,208.0,,1,0,0,0,
110681,0.006803610999999999,79,2,0.0039984009999999995,2500.0,12,0,0,1,0.0
43249,0.828282828,46,2,0.870024995,5200.0,4,3,1,0,2.0
18367,0.0,29,0,0.325306679,2200.0,12,0,0,0,0.0
52473,0.47775107899999997,52,0,0.426661241,17200.0,10,0,2,0,1.0
89067,1.096890724,31,0,0.318099195,3850.0,8,3,0,0,0.0
41629,0.89276808,74,0,0.144305307,1676.0,1,0,0,0,0.0
127161,0.6051206929999999,33,0,0.720473899,2700.0,3,0,1,0,0.0
69154,0.9999998999999999,54,0,3035.0,,4,4,2,0,0.0
64954,0.78792496,55,2,0.512904183,3370.0,9,0,2,0,0.0
113785,1.263473054,37,1,0.335584977,3700.0,6,2,1,5,1.0
111082,0.48299672,50,4,1.346057714,4400.0,26,1,3,2,0.0
140908,0.906562483,62,2,0.6804062129999999,1673.0,12,0,0,0,0.0
113364,0.9221556890000001,46,0,0.004331889,3000.0,1,0,0,0,2.0
10802,0.49625935200000004,54,1,0.364165329,4983.0,4,0,1,0,0.0
79490,1.2536510379999999,56,2,427.0,,4,2,0,0,0.0
146768,0.410353255,47,2,0.40133163299999997,7058.0,8,0,3,1,3.0
20993,0.271643215,39,3,0.47096232299999996,8333.0,13,0,2,0,3.0
95476,0.9999998999999999,41,0,0.433413317,3333.0,2,3,0,1,0.0
68692,0.970913186,57,0,0.698602794,3506.0,10,0,2,0,0.0
104480,0.861677733,51,2,1.227120536,3583.0,15,0,1,0,1.0
30463,0.239164591,61,1,10229.0,,20,0,5,1,0.0
64424,0.170460561,33,0,0.40989213399999996,3800.0,9,0,1,0,0.0
113264,0.8155511120000001,49,1,4081.0,,5,3,2,1,
148647,0.973782548,54,0,0.747276955,8170.0,17,0,2,0,0.0
138744,0.41844200600000003,50,3,0.9559087409999999,3900.0,15,0,2,0,0.0
89480,0.9999998999999999,39,3,0.9822876009999999,3330.0,7,4,1,0,2.0
83591,0.500792393,47,2,1992.0,,7,0,1,1,1.0
89154,0.9999998999999999,29,0,11.0,0.0,3,0,0,0,3.0
52544,0.9999998999999999,29,0,0.006870706,1600.0,2,0,0,0,0.0
19870,1.0199944459999999,28,0,452.5,1.0,11,0,0,0,3.0
110802,0.9999998999999999,34,0,0.0,2494.0,0,0,0,0,2.0
70569,0.9929232440000001,50,1,1748.0,,14,0,1,2,0.0
57763,0.052535902999999995,30,0,349.0,,10,0,0,0,1.0
64241,0.449930234,45,4,0.58591873,9572.0,20,0,3,1,2.0
71996,0.9178707220000001,44,0,0.316667424,22000.0,18,0,2,0,1.0
92953,0.0034543359999999997,57,1,1954.0,,6,0,2,1,2.0
102253,0.510998842,35,3,0.05570424400000001,34000.0,8,0,1,0,0.0
117974,0.9999998999999999,52,0,0.5374312370000001,4180.0,5,2,2,0,2.0
121886,0.9999998999999999,44,98,0.0,6283.0,1,98,0,98,2.0
46343,0.660998955,46,5,0.44880536,16866.0,17,0,7,0,0.0
12348,0.83650103,65,1,0.47991468200000004,2812.0,14,0,0,1,2.0
95358,0.9999998999999999,46,0,0.0,,0,1,0,0,0.0
89203,0.950703407,44,1,0.238319962,2118.0,7,3,0,0,2.0
88569,0.0,54,0,0.271143797,5166.0,5,0,2,0,0.0
95567,0.11869048800000001,71,1,0.50950794,5100.0,18,0,3,0,0.0
90514,0.9999998999999999,34,0,0.299435028,2300.0,7,3,0,0,0.0
141607,0.20685287600000002,38,1,0.417880023,3433.0,5,0,1,1,2.0
148552,0.09806012900000001,56,0,0.239253582,3000.0,10,0,0,0,2.0
